"old_name","new_name","start_date","end_date"
"BENIN","DAHOMEY","1959-11-08","1975-11-30"
"BURKINA FASO","UPPER VOLTA","1960-04-14","1984-08-04"
"CURAÇAO","NETHERLANDS ANTILLES","1957-03-03","2010-10-10"
"CZECHOSLOVAKIA","BOHEMIA","1903-04-05","1919-01-01"
"CZECHOSLOVAKIA","BOHEMIA AND MORAVIA","1939-01-01","1945-05-01"
"CZECHOSLOVAKIA","REPRESENTATION OF CZECHS AND SLOVAKS","1993-03-24","1993-11-17"
"DR CONGO","BELGIAN CONGO","1948-05-25","1956-01-02"
"DR CONGO","CONGO-LÉOPOLDVILLE","1963-04-12","1964-07-19"
"DR CONGO","CONGO-KINSHASA","1965-01-09","1970-11-24"
"DR CONGO","ZAÏRE","1971-01-10","1997-04-27"
"DJIBOUTI","FRENCH SOMALILAND","1947-12-05","1977-06-27"
"EGYPT","UNITED ARAB REPUBLIC","1958-02-22","1971-09-11"
"ESWATINI","SWAZILAND","1968-05-01","2018-04-19"
"GHANA","GOLD COAST","1950-05-28","1957-03-06"
"GUINEA-BISSAU","PORTUGUESE GUINEA","1953-06-02","1973-09-24"
"GUYANA","BRITISH GUIANA","1905-07-21","1967-08-02"
"INDONESIA","DUTCH EAST INDIES","1934-05-13","1951-03-04"
"ISRAEL","MANDATORY PALESTINE","1934-03-16","1940-04-27"
"MALAWI","NYASALAND","1957-08-28","1964-07-04"
"MALAYSIA","MALAYA","1948-06-20","1963-08-16"
"MYANMAR","BURMA","1952-03-14","1989-01-01"
"NORTH MACEDONIA","MACEDONIA","1993-10-13","2018-11-19"
"NORTHERN IRELAND","IRELAND","1882-02-18","1956-04-11"
"REPUBLIC OF IRELAND","IRISH FREE STATE","1924-05-28","1936-12-06"
"REPUBLIC OF IRELAND","ÉIRE","1937-01-01","1953-03-25"
"RUSSIA","SOVIET UNION","1924-11-16","1991-11-13"
"RUSSIA","CIS","1992-01-25","1992-06-18"
"SAMOA","WESTERN SAMOA","1979-08-31","1996-11-15"
"SERBIA","FR YUGOSLAVIA","1994-12-23","2003-02-03"
"SERBIA","SERBIA AND MONTENEGRO","2003-02-04","2006-06-21"
"SRI LANKA","CEYLON","1952-03-24","1972-05-22"
"SURINAME","DUTCH GUYANA","1921-01-28","1975-11-25"
"TANZANIA","TANGANYIKA","1945-01-01","1964-04-26"
"VANUATU","NEW HEBRIDES","1951-10-04","1980-07-30"
"ZAMBIA","NORTHERN RHODESIA","1947-02-22","1964-10-25"
"ZIMBABWE","SOUTHERN RHODESIA","1946-06-16","1980-04-18"
