"date","home_team","away_team","home_goals_scored","home_penalties","home_own_goals","away_goals_scored","away_penalties","away_own_goals","goal_diff_real","total_goals_real","penalty_ratio_home","penalty_ratio_away"
1916-07-06,"ARGENTINA","CHILE",6,2,0,1,0,0,5,7,0.333333333333333,0
1916-07-08,"BRAZIL","CHILE",1,0,0,1,0,0,0,2,0,0
1916-07-10,"ARGENTINA","BRAZIL",1,0,0,1,0,0,0,2,0,0
1916-07-12,"BRAZIL","URUGUAY",1,0,0,2,0,0,-1,3,0,0
1917-09-30,"URUGUAY","CHILE",4,1,0,0,0,0,4,4,0.25,0
1917-10-03,"ARGENTINA","BRAZIL",4,2,0,2,1,0,2,6,0.5,0.5
1917-10-06,"ARGENTINA","CHILE",1,0,1,0,0,0,1,1,0,0
1917-10-07,"URUGUAY","BRAZIL",4,0,0,0,0,0,4,4,0,0
1917-10-12,"BRAZIL","CHILE",5,0,0,0,0,0,5,5,0,0
1917-10-14,"URUGUAY","ARGENTINA",1,0,0,0,0,0,1,1,0,0
1919-05-11,"BRAZIL","CHILE",6,0,0,0,0,0,6,6,0,0
1919-05-13,"ARGENTINA","URUGUAY",2,0,1,3,0,0,-1,5,0,0
1919-05-18,"BRAZIL","ARGENTINA",3,0,0,1,0,0,2,4,0,0
1919-05-22,"ARGENTINA","CHILE",4,0,0,1,0,0,3,5,0,0
1919-05-26,"BRAZIL","URUGUAY",2,0,0,2,0,0,0,4,0,0
1919-05-29,"BRAZIL","URUGUAY",1,0,0,0,0,0,1,1,0,0
1920-09-12,"URUGUAY","ARGENTINA",1,0,0,1,0,0,0,2,0,0
1920-09-20,"CHILE","ARGENTINA",1,0,0,1,0,0,0,2,0,0
1920-09-25,"ARGENTINA","BRAZIL",2,0,0,0,0,0,2,2,0,0
1920-10-03,"CHILE","URUGUAY",1,0,0,2,0,0,-1,3,0,0
1921-10-02,"ARGENTINA","BRAZIL",1,0,0,0,0,0,1,1,0,0
