"country","fifa_version","num_players","overall_strength","max_overall","attack_strength","defense_strength","avg_pace","avg_shooting","avg_passing","avg_dribbling","avg_defending","avg_physic","balance","depth","quality_per_player"
"AFGHANISTAN",17,1,54,54,54,54,69,52,44,58,18,48,0,0,54
"AFGHANISTAN",18,3,56.3333333333333,60,56.3333333333333,50,66,44.3333333333333,55.3333333333333,60,41.6666666666667,53.3333333333333,6.33333333333334,3.66666666666666,18.7777777777778
"AFGHANISTAN",19,3,60.6666666666667,63,60.6666666666667,60.5,71.6666666666667,49,54,61,50.3333333333333,57,0.166666666666664,2.33333333333334,20.2222222222222
"AFGHANISTAN",20,2,62,64,62,62,71,48,58,63,55,59.5,0,2,31
"AFGHANISTAN",21,2,66,68,64,68,80.5,53.5,57,68.5,46,50.5,-4,2,33
"AFGHANISTAN",22,1,64,64,64,64,82,60,55,68,31,43,0,0,64
"AFGHANISTAN",23,1,63,63,63,63,80,50,58,65,58,63,0,0,63
"ALBANIA",15,14,69.8571428571429,77,68.8,70.5,68.1666666666667,59.6666666666667,60.75,65.0833333333333,53.1666666666667,68,-1.7,7.14285714285714,4.98979591836735
"ALBANIA",16,14,70.9285714285714,75,70.6,71,69.9230769230769,61.3846153846154,64.6923076923077,66.1538461538462,56.5384615384615,71.0769230769231,-0.400000000000006,4.07142857142857,5.06632653061224
"ALBANIA",17,14,72.1428571428571,79,71.25,72.875,73.0769230769231,58.6923076923077,62.6153846153846,67.3076923076923,56.4615384615385,71,-1.625,6.85714285714286,5.1530612244898
"ALBANIA",18,14,73.1428571428571,79,71.6666666666667,74.125,69.5,60.4166666666667,64.25,67.5833333333333,56.3333333333333,70.6666666666667,-2.45833333333333,5.85714285714286,5.22448979591837
"ALBANIA",19,14,72.5714285714286,81,70,73.7777777777778,73.0833333333333,57.3333333333333,65,69.8333333333333,61,68.8333333333333,-3.77777777777777,8.42857142857143,5.18367346938776
"ALBANIA",20,14,73,82,70.5,73.9,64.8333333333333,53.4166666666667,61.8333333333333,65.0833333333333,61.75,71.75,-3.40000000000001,9,5.21428571428571
"ALBANIA",21,14,72.2857142857143,83,69,73.2727272727273,63.5,50.9166666666667,59.25,62.3333333333333,63.1666666666667,73.1666666666667,-4.27272727272727,10.7142857142857,5.16326530612245
"ALBANIA",22,14,73.9285714285714,80,72,74.4545454545455,67.75,50,59,64.5833333333333,61.75,72.6666666666667,-2.45454545454545,6.07142857142857,5.28061224489796
"ALBANIA",23,14,74.4285714285714,79,73.6,74.8888888888889,72.1666666666667,56.5,61.1666666666667,68.75,57,70.9166666666667,-1.28888888888889,4.57142857142857,5.31632653061224
