"date","home_team","away_team","is_shootout","home_win_pen","away_win_pen","first_shooter_home","first_shooter_away"
1967-08-22,"INDIA","TAIWAN",1,0,1,0,0
1971-11-14,"SOUTH KOREA","VIETNAM REPUBLIC",1,1,0,0,0
1972-05-07,"SOUTH KOREA","IRAQ",1,0,1,0,0
1972-05-17,"THAILAND","SOUTH KOREA",1,0,1,0,0
1972-05-19,"THAILAND","CAMBODIA",1,1,0,0,0
1973-04-21,"SENEGAL","GHANA",1,0,1,0,0
1973-06-14,"GUINEA","MALI",1,1,0,0,0
1973-06-14,"MAURITIUS","TANZANIA",1,1,0,0,0
1973-07-26,"MALAYSIA","KUWAIT",1,1,0,0,0
1973-07-26,"CAMBODIA","SINGAPORE",1,0,1,0,0
1973-07-27,"BANGLADESH","THAILAND",1,0,1,0,0
1973-07-28,"MYANMAR","SOUTH KOREA",1,1,0,0,0
1973-08-09,"INDIA","VIETNAM REPUBLIC",1,0,1,0,0
1973-08-23,"ALGERIA","SYRIA",1,0,1,0,0
1973-08-25,"ALGERIA","IRAQ",1,1,0,0,0
1973-09-06,"SINGAPORE","VIETNAM REPUBLIC",1,0,1,0,0
1974-03-28,"QATAR","UNITED ARAB EMIRATES",1,1,0,0,0
1974-07-24,"HONG KONG","INDONESIA",1,0,1,0,0
1974-08-01,"INDIA","INDONESIA",1,0,1,0,0
1974-10-09,"SYRIA","MOROCCO",1,0,1,0,0
1974-11-22,"LIBYA","TUNISIA",1,0,1,0,0
1974-12-18,"SOUTH KOREA","MALAYSIA",1,1,0,0,0
1975-07-13,"MOROCCO","GHANA",1,1,0,0,0
1975-11-09,"KENYA","MALAWI",1,1,0,0,0
1975-12-09,"THAILAND","MALAYSIA",1,1,0,0,0
1975-12-23,"LIBYA","SYRIA",1,0,1,0,0
1976-06-20,"CZECHOSLOVAKIA","GERMANY",1,1,0,1,0
1976-12-22,"SOUTH KOREA","MALAYSIA",1,0,1,0,0
1977-01-09,"TUNISIA","MOROCCO",1,1,0,0,0
1977-03-22,"ARGENTINA","IRAN",1,1,0,0,0
1977-06-26,"ZAMBIA","ALGERIA",1,1,0,0,0
1977-07-27,"IRAN","MOROCCO",1,1,0,0,0
1977-08-31,"PARAGUAY","ARGENTINA",1,1,0,0,0
1979-01-13,"GUINEA-BISSAU","MALI",1,0,1,0,0
1979-01-14,"GUINEA-BISSAU","GUINEA",1,0,1,0,0
1979-04-29,"CAMEROON","GUINEA",1,0,1,0,0
1979-05-22,"ARGENTINA","NETHERLANDS",1,1,0,1,0
1979-08-31,"SEYCHELLES","MAURITIUS",1,1,0,0,0
1979-09-29,"INDONESIA","THAILAND",1,1,0,0,0
1980-02-16,"GAMBIA","MAURITANIA",1,1,0,0,0
1980-03-19,"ALGERIA","EGYPT",1,1,0,0,0
1980-06-21,"ITALY","CZECHOSLOVAKIA",1,0,1,1,0
1980-07-12,"NIGERIA","TUNISIA",1,1,0,0,0
1980-11-30,"ZAMBIA","MOROCCO",1,0,1,0,0
1980-12-31,"HONG KONG","CHINA PR",1,0,1,0,0
1981-02-13,"MALI","GUINEA",1,0,1,0,0
1981-05-10,"RWANDA","ETHIOPIA",1,0,1,0,0
1981-12-13,"MALAYSIA","SINGAPORE",1,1,0,0,0
1982-02-21,"IVORY COAST","TOGO",1,0,1,0,0
1982-02-22,"IVORY COAST","BURKINA FASO",1,0,1,0,0
1982-03-19,"LIBYA","GHANA",1,0,1,0,0
1982-05-15,"THAILAND","SINGAPORE",1,1,0,0,0
1982-05-17,"THAILAND","SOUTH KOREA",1,1,0,0,0
1982-07-08,"GERMANY","FRANCE",1,1,0,0,1
1982-10-17,"INDONESIA","MALAYSIA",1,1,0,0,0
1982-11-27,"UGANDA","KENYA",1,0,1,0,0
1983-02-06,"SENEGAL","NIGER",1,1,0,0,0
1983-02-20,"GAMBIA","SIERRA LEONE",1,1,0,0,0
1983-02-27,"MALI","GUINEA",1,1,0,0,0
1983-04-22,"EGYPT","CONGO",1,1,0,0,0
1983-04-24,"MAURITIUS","ETHIOPIA",1,0,1,0,0
1983-06-04,"THAILAND","MALAYSIA",1,1,0,0,0
1983-07-18,"HONG KONG","THAILAND",1,0,1,0,0
1983-08-28,"MOROCCO","NIGERIA",1,0,1,0,0
1983-12-15,"IVORY COAST","MALI",1,1,0,0,0
1983-12-18,"MALI","NIGERIA",1,1,0,0,0
1984-02-16,"SIERRA LEONE","MALI",1,1,0,0,0
1984-02-19,"SIERRA LEONE","SENEGAL",1,0,1,0,0
1984-03-14,"EGYPT","NIGERIA",1,0,1,0,0
1984-03-14,"ALGERIA","CAMEROON",1,0,1,0,0
1984-03-28,"IRAQ","QATAR",1,1,0,0,0
1984-06-24,"DENMARK","SPAIN",1,0,1,1,0
1984-07-15,"SENEGAL","ANGOLA",1,0,1,0,0
1984-11-23,"KENYA","SOMALIA",1,1,0,0,0
1984-11-28,"GHANA","TOGO",1,1,0,0,0
1984-12-08,"KENYA","SOMALIA",1,1,0,0,0
1984-12-13,"SAUDI ARABIA","IRAN",1,1,0,0,0
1984-12-15,"MALAWI","ZAMBIA",1,0,1,0,0
1984-12-16,"IRAN","KUWAIT",1,0,1,0,0
1984-12-16,"CHAD","EQUATORIAL GUINEA",1,1,0,0,0
1984-12-19,"CENTRAL AFRICAN REPUBLIC","GABON",1,0,1,0,0
1984-12-20,"CONGO","CAMEROON",1,0,1,0,0
1985-04-16,"MOZAMBIQUE","MALAWI",1,1,0,0,0
1985-04-21,"MADAGASCAR","EGYPT",1,0,1,0,0
1985-07-10,"BAHRAIN","QATAR",1,1,0,0,0
1985-07-12,"SAUDI ARABIA","QATAR",1,1,0,0,0
1985-08-25,"MALI","GUINEA",1,0,1,0,0
1985-08-31,"MAURITIUS","RÉUNION",1,1,0,0,0
1985-09-15,"MOZAMBIQUE","LIBYA",1,1,0,0,0
1985-10-11,"KENYA","UGANDA",1,1,0,0,0
1985-12-15,"SINGAPORE","MALAYSIA",1,1,0,0,0
1985-12-25,"PAKISTAN","NEPAL",1,0,1,0,0
1985-12-25,"BANGLADESH","INDIA",1,0,1,0,0
1986-03-21,"EGYPT","CAMEROON",1,1,0,0,0
1986-06-21,"BRAZIL","FRANCE",1,0,1,1,0
1986-06-21,"MEXICO","GERMANY",1,0,1,0,1
1986-06-22,"SPAIN","BELGIUM",1,0,1,1,0
1986-10-01,"SAUDI ARABIA","IRAQ",1,1,0,0,0
1986-10-01,"SOUTH KOREA","IRAN",1,1,0,0,0
1986-10-01,"UNITED ARAB EMIRATES","INDONESIA",1,0,1,0,0
1986-10-01,"KUWAIT","CHINA PR",1,1,0,0,0
1986-10-03,"SAUDI ARABIA","KUWAIT",1,1,0,0,0
1986-10-19,"GABON","ANGOLA",1,0,1,0,0
1986-12-17,"CHAD","GABON",1,1,0,0,0
1987-03-01,"MALI","SIERRA LEONE",1,1,0,0,0
1987-03-02,"SENEGAL","SIERRA LEONE",1,1,0,0,0
1987-06-19,"AUSTRALIA","EGYPT",1,1,0,0,0
1987-06-21,"SOUTH KOREA","AUSTRALIA",1,1,0,0,0
1987-07-19,"DR CONGO","SENEGAL",1,1,0,0,0
1987-08-08,"IVORY COAST","MADAGASCAR",1,1,0,0,0
1987-08-09,"CAMEROON","EGYPT",1,0,1,0,0
1987-08-10,"KENYA","MALAWI",1,0,1,0,0
1987-12-13,"MALAWI","ZIMBABWE",1,0,1,0,0
1987-12-18,"EQUATORIAL GUINEA","GABON",1,0,1,0,0
1987-12-27,"ETHIOPIA","ZIMBABWE",1,1,0,0,0
1988-01-06,"SOUTH KOREA","EGYPT",1,1,0,0,0
1988-03-23,"ALGERIA","NIGERIA",1,0,1,0,0
1988-03-26,"MOROCCO","ALGERIA",1,0,1,0,0
1988-03-31,"GERMANY","SWEDEN",1,0,1,0,1
1988-05-05,"MALI","SENEGAL",1,1,0,0,0
1988-05-08,"GUINEA","MALI",1,1,0,0,0
1988-05-28,"CANADA","GREECE",1,1,0,0,0
1988-07-19,"EGYPT","SYRIA",1,0,1,0,0
1988-07-21,"IRAQ","SYRIA",1,1,0,0,0
1988-09-29,"CHILE","ECUADOR",1,0,1,0,0
1988-10-16,"ESWATINI","TANZANIA",1,1,0,0,0
1988-12-06,"CENTRAL AFRICAN REPUBLIC","GABON",1,0,1,0,0
1988-12-17,"CHINA PR","IRAN",1,0,1,0,0
1988-12-18,"SOUTH KOREA","SAUDI ARABIA",1,0,1,1,0
1989-04-23,"GHANA","GABON",1,0,1,0,0
1989-04-23,"KENYA","SUDAN",1,1,0,0,0
1989-08-30,"INDONESIA","THAILAND",1,1,0,0,0
1989-11-08,"IRAN","UGANDA",1,0,1,0,0
1989-11-12,"IRAQ","UGANDA",1,1,0,0,0
1989-12-11,"CHAD","CAMEROON",1,0,1,0,0
1989-12-16,"MALAWI","UGANDA",1,0,1,0,0
1990-01-28,"NIGERIA","SENEGAL",1,1,0,0,0
1990-02-04,"UNITED STATES","COLOMBIA",1,0,1,0,1
1990-02-20,"COLOMBIA","RUSSIA",1,1,0,1,0
1990-05-18,"ZIMBABWE","ESWATINI",1,1,0,0,0
